Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price ( in Cr )
Irfan Patel,21,West Indies,Wicketkeeper,24,1,4569,147.4,0,0.0,25.91,MI,3.0
Manoj Chopra,29,West Indies,Wicketkeeper,98,5,9013,98.2,0,0.0,45.11,MI,7.0
Irfan Kulkarni,34,India,Bowler,130,7,3004,145.9,842,5.81,33.42,KKR,0.5
Nikhil Malik,29,West Indies,Bowler,147,9,3277,145.2,625,4.64,39.21,GT,2.0
Aditya Chopra,29,England,Bowler,175,9,410,138.2,776,4.72,37.89,RCB,1.5
Irfan Khan,23,West Indies,Bowler,129,5,3515,122.7,287,6.3,49.0,RCB,0.5
Rohan Reddy,26,South Africa,Wicketkeeper,30,1,10167,144.8,0,0.0,44.83,GT,1.5
Amit Patel,28,West Indies,Allrounder,87,3,4052,145.3,146,5.37,43.49,SRH,0.2
Amit Shetty,41,India,Batter,373,20,10879,116.8,5,8.44,50.77,RR,0.2
Harshit Iyer,42,South Africa,Wicketkeeper,195,8,5668,138.5,0,0.0,23.94,RR,0.5
Rahul Yadav,25,India,Allrounder,156,7,2511,148.2,411,6.43,21.65,SRH,12.0
Vikas Naidu,41,Australia,Bowler,452,19,44,135.7,732,7.65,42.1,RCB,3.0
Arjun Patel,21,Sri Lanka,Allrounder,59,3,6910,109.9,264,5.95,52.97,PBKS,12.0
Sandeep Patel,27,Australia,Wicketkeeper,60,2,3171,112.9,0,0.0,47.14,DC,2.0
Pranav Naidu,30,India,Batter,137,5,7769,103.4,7,7.38,20.38,RR,1.0
Aditya Mehta,34,England,Batter,75,4,13893,153.5,15,7.9,32.92,PBKS,2.0
Amit Kulkarni,40,Australia,Wicketkeeper,395,14,7019,116.4,0,0.0,32.04,MI,2.0
Pranav Malik,26,England,Wicketkeeper,100,6,2711,126.2,0,0.0,35.42,SRH,0.2
Vikas Mehta,21,India,Wicketkeeper,82,3,9606,147.8,0,0.0,37.69,LSG,5.0
Harshit Malik,39,West Indies,Batter,231,9,12938,103.3,12,7.78,54.4,LSG,0.5
Nikhil Patel,19,India,Batter,26,1,12504,99.4,13,6.87,43.21,MI,3.0
Ankit Kulkarni,30,Sri Lanka,Batter,326,12,11564,119.9,1,8.08,34.78,LSG,5.0
Pranav Khan,30,India,Wicketkeeper,310,11,5461,142.1,0,0.0,26.85,CSK,0.5
Rohan Khan,18,India,Batter,29,1,7153,133.9,11,8.87,34.66,RR,0.2
Vikas Verma,39,India,Allrounder,263,12,5253,110.4,397,6.6,46.32,LSG,7.0
Vikas Chopra,38,England,Bowler,237,9,3085,114.3,436,5.95,40.86,GT,2.0
Irfan Patel,42,England,Wicketkeeper,168,6,11318,154.7,0,0.0,35.23,DC,0.2
Irfan Verma,41,India,Allrounder,201,8,4826,115.7,200,8.22,21.92,MI,15.0
Harshit Reddy,37,Australia,Bowler,459,16,2897,120.1,577,4.78,27.69,KKR,0.2
Sameer Singh,29,India,Wicketkeeper,131,6,2760,95.0,0,0.0,52.03,RCB,5.0
Sameer Chopra,21,Australia,Allrounder,20,1,4760,139.5,356,7.95,25.87,GT,15.0
Rahul Patel,40,South Africa,Bowler,61,3,597,99.1,813,4.46,45.34,PBKS,1.0
Manoj Iyer,28,India,Allrounder,210,9,6525,120.8,331,8.25,24.17,RR,0.5
Karthik Malik,20,India,Bowler,47,2,634,115.9,763,5.95,33.12,CSK,0.5
Vikas Malik,26,India,Wicketkeeper,22,1,9714,132.3,0,0.0,45.16,KKR,1.0
Amit Verma,38,India,Bowler,183,7,1979,97.1,529,4.42,54.8,KKR,0.2
Manoj Iyer,31,South Africa,Bowler,234,9,3058,98.2,347,4.88,26.65,GT,5.0
Manoj Singh,40,India,Allrounder,261,12,5926,118.5,222,5.14,48.08,DC,0.2
Irfan Malik,20,West Indies,Allrounder,19,1,2291,121.7,441,6.19,43.65,KKR,2.0
Rahul Shetty,34,India,Allrounder,424,16,4353,146.7,407,6.78,50.31,PBKS,15.0
Karthik Verma,40,India,Bowler,550,21,2534,141.7,528,4.04,36.13,PBKS,7.0
Rahul Iyer,33,West Indies,Wicketkeeper,264,10,11658,154.3,0,0.0,36.91,CSK,3.0
Karthik Malik,38,India,Allrounder,51,2,4403,140.3,73,8.45,28.7,RCB,1.0
Sameer Deshmukh,41,Sri Lanka,Allrounder,245,9,7268,154.5,431,6.88,50.01,CSK,3.0
Pranav Naidu,22,West Indies,Bowler,104,4,2763,137.4,391,4.37,32.1,SRH,3.0
Sandeep Shetty,28,England,Wicketkeeper,115,4,2611,95.4,0,0.0,34.12,GT,2.0
Nikhil Patel,37,India,Allrounder,46,2,4889,144.1,413,5.82,31.81,MI,0.5
Nikhil Shetty,23,India,Bowler,30,2,2659,95.0,586,7.14,30.77,RCB,10.0
Rahul Patel,41,South Africa,Allrounder,111,4,4838,109.0,235,5.84,22.39,RR,2.0
Irfan Singh,40,India,Bowler,319,16,1454,128.3,261,4.71,30.2,RCB,0.5
Karthik Patel,40,Australia,Allrounder,312,14,3143,117.6,156,6.46,50.66,RCB,1.5
Ankit Naidu,29,West Indies,Batter,230,11,3334,124.6,1,9.17,31.56,MI,2.0
Rahul Iyer,35,West Indies,Allrounder,30,2,1538,152.2,207,5.37,22.11,CSK,7.0
Harshit Khan,30,England,Batter,83,5,5824,112.9,6,7.04,31.21,PBKS,5.0
Sandeep Chopra,38,England,Wicketkeeper,349,20,5034,104.9,0,0.0,47.41,KKR,7.0
Sameer Naidu,37,West Indies,Bowler,218,12,3335,133.1,535,4.47,24.33,RCB,0.2
Harshit Khan,18,Australia,Batter,18,1,8718,149.6,5,6.25,26.65,SRH,2.0
Sameer Patel,36,India,Bowler,334,17,2511,127.7,425,7.12,22.72,LSG,2.0
Harshit Naidu,32,West Indies,Wicketkeeper,181,11,8043,152.3,0,0.0,28.64,MI,0.2
Vikas Malik,25,India,Bowler,70,3,170,105.1,446,7.27,49.89,LSG,1.0
Irfan Chopra,19,England,Batter,27,1,11951,125.7,6,6.05,46.93,MI,7.0
Karthik Shetty,27,Australia,Bowler,170,6,1746,149.6,493,7.55,48.69,KKR,0.5
Karthik Sharma,31,India,Batter,146,7,12195,107.0,15,9.11,29.95,LSG,3.0
Karthik Shetty,37,India,Allrounder,330,13,8309,117.6,61,6.01,33.77,SRH,0.5
Sameer Mehta,24,West Indies,Allrounder,20,1,6750,104.6,200,6.91,44.19,PBKS,0.2
Amit Verma,41,India,Batter,41,2,11810,113.6,1,6.59,37.62,RR,1.0
Arjun Singh,39,India,Bowler,235,14,1872,139.4,270,7.03,42.59,CSK,12.0
Rahul Deshmukh,25,Sri Lanka,Allrounder,116,6,6178,127.8,367,5.55,23.06,KKR,7.0
Sameer Reddy,37,India,Batter,24,1,3077,119.8,7,7.32,21.39,KKR,12.0
Manoj Malik,39,England,Bowler,267,11,183,152.3,239,5.04,53.38,KKR,2.0
Sameer Khan,22,Australia,Allrounder,36,2,8698,97.6,374,6.23,26.27,RR,0.2
Aditya Sharma,41,South Africa,Wicketkeeper,231,9,7056,118.5,0,0.0,53.17,RR,3.0
Nikhil Sharma,24,India,Allrounder,104,4,7784,140.8,269,5.49,23.8,RR,2.0
Pranav Patel,22,India,Batter,58,2,11004,117.9,2,9.43,47.13,MI,7.0
Sandeep Deshmukh,23,South Africa,Allrounder,111,5,5893,132.7,186,6.2,26.72,SRH,0.2
Harshit Patel,27,India,Batter,86,5,12089,151.3,15,6.51,52.12,RR,2.0
Karthik Naidu,24,India,Batter,37,2,3623,132.5,12,9.11,48.29,MI,0.5
Vikas Reddy,23,England,Batter,29,1,5338,115.1,14,6.24,30.98,PBKS,1.5
Harshit Yadav,37,India,Bowler,48,2,58,116.4,236,6.42,25.2,DC,5.0
Ankit Naidu,28,India,Bowler,125,5,1556,143.9,236,6.27,33.37,KKR,2.0
Vikas Iyer,27,England,Batter,247,9,3414,106.8,14,6.46,28.31,KKR,1.5
Arjun Iyer,20,West Indies,Allrounder,25,1,1964,133.6,97,6.05,41.03,RCB,1.5
Arjun Chopra,39,India,Wicketkeeper,65,3,8568,136.8,0,0.0,32.69,CSK,2.0
Pranav Yadav,19,South Africa,Batter,15,1,12219,107.2,1,8.88,36.42,CSK,7.0
Irfan Yadav,30,West Indies,Batter,168,10,3324,105.8,15,8.8,23.85,CSK,10.0
Pranav Mehta,36,Sri Lanka,Allrounder,386,13,3446,115.6,389,8.09,43.94,RR,12.0
Ankit Kulkarni,33,Sri Lanka,Allrounder,189,10,5220,136.4,314,5.09,31.06,LSG,7.0
Rohan Kulkarni,29,South Africa,Bowler,76,4,3612,131.6,244,4.21,28.43,RCB,1.0
Harshit Verma,29,India,Wicketkeeper,29,1,9223,118.2,0,0.0,22.82,RCB,5.0
Manoj Iyer,40,India,Bowler,477,18,1724,112.9,507,4.56,23.14,DC,2.0
Karthik Reddy,32,England,Wicketkeeper,266,12,7841,149.6,0,0.0,20.21,LSG,1.0
Aditya Chopra,39,India,Bowler,250,13,2918,102.4,275,5.84,30.77,KKR,7.0
Sameer Naidu,36,South Africa,Allrounder,152,7,6775,104.7,197,8.24,53.8,GT,0.2
Karthik Patel,24,Sri Lanka,Bowler,79,4,3705,139.5,873,4.78,39.13,GT,10.0
Vikas Yadav,37,West Indies,Batter,250,14,13807,128.2,12,9.1,38.71,DC,2.0
Karthik Sharma,34,South Africa,Bowler,355,14,2732,105.0,256,4.74,52.08,KKR,3.0
Nikhil Shetty,26,India,Wicketkeeper,71,3,7685,114.7,0,0.0,33.02,KKR,5.0
Harshit Khan,32,England,Bowler,99,4,3821,115.3,861,6.89,53.32,LSG,10.0
Pranav Patel,37,India,Batter,265,17,3142,130.8,1,8.58,50.83,MI,3.0
Sameer Khan,28,India,Allrounder,53,2,2733,110.4,149,5.17,36.28,DC,3.0
Nikhil Khan,27,Sri Lanka,Allrounder,45,2,4273,139.6,400,5.79,52.17,DC,0.2
Rahul Shetty,23,India,Allrounder,54,3,2837,115.5,252,6.48,53.65,GT,2.0
Sandeep Chopra,21,Sri Lanka,Wicketkeeper,89,3,7107,121.7,0,0.0,37.12,GT,0.5
Pranav Iyer,40,India,Batter,216,8,3645,149.6,4,7.23,39.91,LSG,5.0
Karthik Iyer,30,England,Wicketkeeper,239,8,9724,140.7,0,0.0,48.41,CSK,2.0
Sameer Sharma,36,England,Wicketkeeper,133,6,3892,115.5,0,0.0,35.18,LSG,5.0
Sandeep Mehta,29,South Africa,Bowler,59,2,612,116.8,193,7.22,47.79,SRH,0.2
Rohan Deshmukh,39,England,Allrounder,182,7,8048,132.4,293,8.29,45.96,MI,0.2
Ankit Malik,18,India,Bowler,23,1,2131,145.7,104,7.06,33.83,SRH,5.0
Amit Kulkarni,33,Australia,Bowler,123,6,1838,119.1,523,4.19,43.58,KKR,0.2
Aditya Shetty,28,India,Allrounder,25,1,6016,139.9,56,6.58,32.49,LSG,0.2
Rohan Reddy,22,Sri Lanka,Batter,27,1,9363,106.2,1,8.22,46.23,KKR,0.2
Aditya Reddy,40,England,Allrounder,592,22,8492,107.2,441,6.91,30.22,DC,12.0
Sandeep Singh,31,West Indies,Allrounder,129,7,5504,124.0,184,7.62,27.56,SRH,5.0
Sameer Kulkarni,26,England,Wicketkeeper,57,2,10836,153.0,0,0.0,45.03,MI,1.5
Harshit Shetty,21,India,Bowler,17,1,725,120.6,462,7.64,36.63,MI,1.0
Harshit Patel,20,India,Bowler,15,1,3016,126.5,429,7.41,44.75,MI,1.5
Nikhil Kulkarni,37,England,Bowler,87,3,433,121.8,707,4.96,24.32,LSG,7.0
Vikas Khan,21,India,Bowler,17,1,2941,95.1,173,4.78,21.37,MI,5.0
Vikas Sharma,18,South Africa,Bowler,25,1,2561,109.5,622,7.71,43.22,MI,0.5
Aditya Naidu,24,India,Bowler,90,4,1179,128.0,829,7.19,25.36,PBKS,0.5
Karthik Iyer,39,India,Batter,325,19,5881,131.0,6,8.55,45.59,GT,0.2
Aditya Patel,26,India,Bowler,56,3,3475,153.5,409,6.93,40.07,MI,5.0
Manoj Kulkarni,42,Australia,Bowler,196,8,1688,133.9,598,5.3,22.4,PBKS,7.0
Manoj Verma,38,India,Bowler,285,10,28,102.2,750,7.41,31.47,DC,1.0
Harshit Iyer,39,India,Allrounder,151,9,5546,130.8,216,7.86,33.78,MI,0.2
Rahul Kulkarni,41,India,Wicketkeeper,53,2,3945,123.4,0,0.0,49.91,LSG,0.2
Aditya Kulkarni,28,India,Allrounder,295,10,3649,147.2,412,6.19,23.08,PBKS,12.0
Aditya Shetty,28,England,Allrounder,183,8,3959,145.9,430,7.72,26.36,LSG,1.0
Vikas Mehta,33,India,Bowler,178,6,1445,104.9,499,5.64,44.73,RCB,7.0
Sameer Shetty,32,Sri Lanka,Allrounder,231,8,8865,133.1,277,6.87,26.88,RR,3.0
Aditya Shetty,32,South Africa,Bowler,46,3,3577,97.5,222,4.8,31.27,RR,1.5
Manoj Singh,28,South Africa,Bowler,206,7,3348,146.5,757,6.13,43.34,CSK,0.5
Vikas Patel,23,South Africa,Bowler,45,2,613,152.2,357,5.65,45.17,CSK,0.5
Karthik Reddy,28,Australia,Batter,113,4,12000,126.7,8,9.26,29.06,RCB,3.0
Nikhil Deshmukh,25,South Africa,Wicketkeeper,43,2,5118,98.2,0,0.0,45.41,LSG,7.0
Ankit Patel,33,England,Batter,287,11,12958,113.2,9,6.42,38.64,MI,5.0
Harshit Yadav,22,Sri Lanka,Wicketkeeper,30,2,7546,128.9,0,0.0,41.02,RR,3.0
Pranav Verma,38,South Africa,Allrounder,168,6,2498,117.8,346,5.58,41.6,PBKS,0.2
Aditya Singh,22,England,Allrounder,81,3,5379,138.7,72,8.39,52.29,RCB,12.0
Manoj Yadav,18,England,Allrounder,22,1,8955,130.5,486,7.67,26.72,KKR,7.0
Arjun Singh,28,England,Allrounder,209,8,3092,132.4,105,7.33,41.09,PBKS,1.0
Aditya Mehta,28,India,Bowler,213,10,2001,126.7,656,5.86,31.71,PBKS,12.0
Ankit Chopra,33,South Africa,Batter,417,15,5430,106.9,10,7.82,48.18,MI,3.0
Nikhil Khan,20,India,Wicketkeeper,44,2,8882,106.1,0,0.0,22.97,SRH,3.0
Aditya Iyer,42,India,Allrounder,165,7,3520,134.5,154,6.53,35.32,DC,5.0
Ankit Malik,38,Sri Lanka,Allrounder,19,1,7919,128.5,179,5.97,32.15,PBKS,7.0
Nikhil Khan,28,India,Allrounder,225,8,8141,150.4,370,8.27,37.58,GT,5.0
Rohan Deshmukh,24,India,Batter,142,5,11259,139.2,9,7.15,21.28,CSK,0.5
Manoj Deshmukh,25,Australia,Wicketkeeper,138,7,5846,123.5,0,0.0,31.77,CSK,1.5
Amit Kulkarni,22,India,Batter,68,3,10617,95.7,4,9.22,39.35,RR,10.0
Arjun Iyer,32,Sri Lanka,Wicketkeeper,245,11,4265,139.4,0,0.0,36.98,PBKS,1.0
Vikas Deshmukh,26,Sri Lanka,Allrounder,156,8,2834,153.3,340,5.3,38.13,PBKS,1.5
Rahul Sharma,22,West Indies,Batter,75,3,9042,109.2,4,8.15,36.92,DC,2.0
Pranav Reddy,28,South Africa,Batter,127,7,8351,99.5,1,7.5,23.72,DC,2.0
Nikhil Shetty,38,India,Allrounder,280,10,1957,109.4,410,7.93,26.82,PBKS,3.0
Rahul Khan,40,India,Wicketkeeper,94,5,4175,125.3,0,0.0,46.91,MI,12.0
Rahul Shetty,34,England,Bowler,133,6,332,129.6,502,4.24,24.17,DC,1.0
Manoj Chopra,28,West Indies,Wicketkeeper,43,2,8987,97.2,0,0.0,21.85,CSK,0.5
Irfan Yadav,40,India,Batter,89,5,7272,102.1,7,8.92,21.58,LSG,0.5
Amit Kulkarni,25,Sri Lanka,Batter,16,1,3691,145.6,7,7.53,29.18,KKR,10.0
Irfan Iyer,42,England,Bowler,161,8,1587,97.4,854,5.6,35.72,GT,5.0
Arjun Shetty,38,Sri Lanka,Batter,201,13,13971,129.3,13,8.02,31.63,SRH,1.0
Vikas Mehta,35,India,Batter,59,3,12547,101.4,15,7.1,32.84,CSK,7.0
Nikhil Khan,18,West Indies,Batter,20,1,9507,141.0,6,6.35,53.82,DC,10.0
Rohan Chopra,22,West Indies,Allrounder,27,1,2809,146.9,467,8.4,41.03,DC,7.0
Ankit Yadav,24,Australia,Allrounder,125,5,2476,112.1,373,7.45,42.08,DC,10.0
Karthik Mehta,27,South Africa,Batter,146,8,6028,123.9,3,7.59,46.52,GT,1.0
Aditya Khan,19,India,Batter,24,1,14300,114.1,6,6.99,52.36,KKR,5.0
Karthik Sharma,36,Australia,Allrounder,205,10,5686,124.1,52,5.2,51.95,KKR,2.0
Irfan Iyer,27,India,Bowler,30,1,3878,127.8,817,6.32,28.74,DC,7.0
Karthik Reddy,30,India,Allrounder,305,12,5433,146.1,327,6.2,39.57,PBKS,5.0
Rahul Mehta,37,India,Bowler,157,10,2536,101.0,131,5.96,20.56,MI,7.0
Rohan Naidu,18,India,Batter,18,1,3877,117.6,11,9.37,41.11,RR,5.0
Manoj Deshmukh,24,India,Bowler,125,6,1710,136.0,749,4.3,52.64,DC,0.5
Sameer Patel,18,India,Batter,23,1,10486,102.6,6,8.01,40.36,SRH,3.0
Sameer Khan,21,India,Batter,45,3,4844,119.4,2,8.68,50.79,LSG,15.0
Irfan Khan,41,West Indies,Wicketkeeper,154,8,6924,133.9,0,0.0,51.47,PBKS,10.0
Aditya Deshmukh,18,India,Batter,17,1,9513,102.9,12,8.18,30.84,RCB,0.2
Manoj Malik,18,South Africa,Wicketkeeper,20,1,2717,107.1,0,0.0,51.81,LSG,0.5
Harshit Khan,36,Australia,Batter,53,2,10850,135.6,6,8.66,30.53,SRH,0.5
Irfan Yadav,26,Sri Lanka,Allrounder,15,1,6826,140.4,62,5.64,36.6,KKR,5.0
Harshit Yadav,36,Australia,Wicketkeeper,303,14,3948,108.5,0,0.0,41.58,CSK,7.0
Irfan Naidu,37,India,Wicketkeeper,275,12,8582,97.4,0,0.0,31.42,GT,0.5
Ankit Deshmukh,41,South Africa,Bowler,359,18,2376,103.9,491,5.78,54.46,DC,2.0
Harshit Verma,29,Sri Lanka,Allrounder,206,8,5942,102.8,248,5.73,27.12,RCB,7.0
Nikhil Verma,29,England,Batter,150,7,13575,120.5,14,8.69,39.79,RCB,5.0
Sameer Sharma,32,West Indies,Bowler,355,13,594,97.1,693,4.08,35.6,DC,3.0
Irfan Shetty,28,India,Bowler,187,9,3377,148.1,789,7.1,23.03,PBKS,3.0
Sameer Patel,30,West Indies,Wicketkeeper,31,2,11012,127.3,0,0.0,51.96,GT,2.0
Rohan Khan,21,India,Batter,59,3,14206,144.8,10,7.36,24.68,GT,1.0
Aditya Malik,33,West Indies,Allrounder,59,2,4735,140.1,307,8.27,52.95,DC,3.0
Nikhil Singh,39,India,Bowler,252,13,2623,116.8,739,6.57,52.84,RR,5.0
Aditya Sharma,32,India,Bowler,76,3,591,114.9,153,5.05,44.53,GT,10.0
Harshit Reddy,40,India,Bowler,288,10,2614,150.8,178,6.91,27.17,SRH,3.0
Amit Verma,24,India,Batter,20,1,14149,139.3,2,8.79,22.23,MI,7.0
Rahul Reddy,20,South Africa,Wicketkeeper,30,2,7418,118.2,0,0.0,29.9,DC,0.5
Vikas Verma,28,Sri Lanka,Allrounder,186,7,6536,154.0,343,6.07,42.5,RR,2.0
Karthik Singh,19,India,Batter,23,1,14479,153.6,15,8.51,33.2,DC,0.2
Manoj Deshmukh,30,England,Batter,260,9,3447,121.1,12,8.81,50.43,PBKS,1.0
Karthik Verma,19,India,Batter,17,1,7020,151.9,3,6.63,27.66,GT,5.0
Vikas Mehta,32,India,Allrounder,146,7,4037,140.4,322,6.14,33.78,LSG,15.0
Vikas Mehta,42,India,Wicketkeeper,350,23,4603,131.5,0,0.0,35.56,RR,0.2
Rahul Chopra,36,Sri Lanka,Wicketkeeper,23,1,11757,139.5,0,0.0,27.99,RCB,2.0
Rohan Mehta,30,West Indies,Batter,260,9,5849,113.0,14,6.2,36.6,MI,7.0
Rohan Mehta,27,South Africa,Batter,52,3,14252,116.3,4,6.59,34.0,DC,0.5
Karthik Yadav,20,South Africa,Wicketkeeper,20,1,8672,98.4,0,0.0,40.42,CSK,3.0
Vikas Singh,19,Sri Lanka,Bowler,22,1,2923,104.1,535,7.36,40.92,PBKS,5.0
Sandeep Iyer,40,India,Batter,88,4,11128,120.2,11,8.33,44.54,RCB,3.0
Aditya Chopra,40,West Indies,Batter,237,14,9858,125.3,15,7.44,20.26,DC,0.5
Arjun Deshmukh,19,India,Wicketkeeper,17,1,3929,136.5,0,0.0,43.15,RR,1.5
Manoj Chopra,26,India,Wicketkeeper,105,6,2895,97.3,0,0.0,32.89,KKR,7.0
Pranav Yadav,23,West Indies,Bowler,26,1,2282,120.2,349,7.72,37.57,LSG,3.0
Nikhil Reddy,33,West Indies,Bowler,31,2,951,138.0,287,7.46,40.37,MI,0.2
Aditya Deshmukh,22,India,Bowler,68,3,245,146.9,602,7.03,35.99,RR,7.0
Nikhil Chopra,18,Australia,Allrounder,19,1,4117,118.2,164,6.66,53.83,CSK,0.2
Vikas Kulkarni,33,Sri Lanka,Bowler,317,13,877,100.0,181,6.65,50.2,LSG,5.0
Sandeep Kulkarni,23,West Indies,Batter,69,4,4114,99.1,15,7.68,39.24,RCB,0.5
Vikas Kulkarni,34,England,Bowler,59,3,3391,147.7,348,5.59,27.14,RR,12.0
Amit Malik,31,South Africa,Wicketkeeper,15,1,5655,144.6,0,0.0,39.52,DC,1.5
Karthik Mehta,39,India,Wicketkeeper,302,12,10848,98.3,0,0.0,54.01,KKR,1.5
Vikas Mehta,31,Australia,Bowler,292,11,3166,112.5,156,5.95,36.43,GT,0.5
Manoj Patel,31,India,Batter,187,10,13508,113.3,1,9.0,26.74,GT,1.0
Rohan Naidu,29,Australia,Wicketkeeper,143,5,7859,102.7,0,0.0,30.43,DC,10.0
Manoj Shetty,27,West Indies,Wicketkeeper,238,8,11904,141.8,0,0.0,36.51,PBKS,15.0
Rahul Deshmukh,22,England,Allrounder,94,4,5735,105.0,355,5.8,31.65,LSG,1.5
Pranav Verma,38,Australia,Allrounder,83,3,5706,115.6,156,8.29,54.58,SRH,2.0
Nikhil Yadav,28,Australia,Bowler,114,6,3382,105.7,423,5.84,51.19,DC,5.0
Rohan Mehta,34,India,Allrounder,406,14,6522,137.6,495,6.61,54.43,RR,10.0
Pranav Kulkarni,22,West Indies,Bowler,80,3,1315,100.8,289,4.19,45.22,DC,3.0
Rahul Deshmukh,32,India,Bowler,202,10,2449,106.1,888,5.07,21.38,SRH,1.5
Sameer Kulkarni,38,England,Bowler,227,11,1604,141.5,575,4.08,24.71,LSG,2.0
Arjun Singh,40,Australia,Wicketkeeper,153,9,6637,123.1,0,0.0,41.21,RCB,5.0
Amit Patel,21,Australia,Wicketkeeper,59,2,10610,120.7,0,0.0,20.95,KKR,0.2
Arjun Mehta,32,India,Allrounder,203,9,1917,95.6,258,7.74,46.67,RR,3.0
Karthik Reddy,38,England,Batter,270,16,5289,121.0,5,9.13,38.74,RR,1.5
Amit Malik,21,Australia,Batter,33,2,11986,118.4,8,7.67,51.06,MI,7.0
Vikas Sharma,22,India,Wicketkeeper,15,1,4325,148.6,0,0.0,31.75,PBKS,0.2
Rohan Reddy,28,India,Allrounder,206,10,6565,150.6,349,7.15,53.67,KKR,3.0
Irfan Yadav,36,India,Allrounder,216,9,7745,122.2,152,6.78,29.75,RCB,2.0
Arjun Mehta,23,India,Bowler,65,4,2339,103.6,838,7.64,40.29,CSK,5.0
Rahul Patel,37,South Africa,Wicketkeeper,191,9,6465,112.0,0,0.0,29.77,KKR,0.2
Sameer Iyer,32,Australia,Bowler,177,10,12,154.9,324,5.54,21.92,KKR,3.0
Nikhil Malik,39,South Africa,Wicketkeeper,264,10,5996,129.7,0,0.0,22.89,PBKS,3.0
Manoj Deshmukh,25,Sri Lanka,Batter,19,1,9299,121.4,12,6.54,37.87,LSG,3.0
Sameer Kulkarni,18,South Africa,Bowler,25,1,1319,114.0,101,4.98,23.04,LSG,3.0
Irfan Naidu,33,India,Wicketkeeper,230,9,4867,113.2,0,0.0,53.83,PBKS,5.0
Sandeep Shetty,40,India,Wicketkeeper,58,3,7648,151.7,0,0.0,31.72,RR,7.0
Vikas Deshmukh,29,India,Allrounder,153,7,6418,149.6,489,7.0,20.22,SRH,1.0
Pranav Deshmukh,33,Sri Lanka,Bowler,15,1,1592,151.9,665,7.08,23.2,MI,7.0
Amit Naidu,29,Sri Lanka,Wicketkeeper,144,6,3965,104.7,0,0.0,53.63,RR,2.0
Vikas Verma,31,Australia,Allrounder,136,5,2795,95.9,126,6.88,29.02,DC,0.2
Irfan Sharma,25,England,Bowler,111,7,3115,136.6,314,5.71,45.66,RR,0.2
Nikhil Deshmukh,20,India,Batter,23,1,4298,112.3,8,9.48,38.84,GT,1.5
Sandeep Malik,32,Australia,Allrounder,56,3,3376,119.3,249,6.87,25.92,RR,7.0
Vikas Malik,27,India,Batter,81,3,13725,146.2,5,9.42,37.44,MI,5.0
Manoj Khan,27,India,Wicketkeeper,139,9,5701,131.2,0,0.0,27.95,RCB,7.0
Harshit Patel,37,India,Batter,79,3,5033,136.7,14,7.9,38.03,SRH,2.0
Sandeep Chopra,35,India,Bowler,182,12,1333,131.7,255,7.76,32.98,RCB,2.0
Arjun Chopra,42,South Africa,Batter,169,9,5736,105.2,1,8.7,33.46,CSK,0.5
Vikas Malik,33,England,Bowler,81,3,3207,120.9,365,5.32,47.36,PBKS,1.5
Sandeep Deshmukh,32,India,Wicketkeeper,70,4,3192,124.1,0,0.0,47.79,MI,2.0
Amit Verma,20,West Indies,Bowler,55,2,2006,115.5,773,6.19,48.35,LSG,0.2
Sameer Chopra,42,West Indies,Wicketkeeper,285,13,11961,109.3,0,0.0,27.85,LSG,1.0
Arjun Khan,40,India,Allrounder,323,13,8528,110.7,295,6.77,20.32,RR,3.0
Rahul Mehta,22,Australia,Bowler,18,1,2475,125.7,502,6.46,35.59,DC,5.0
Ankit Sharma,30,Sri Lanka,Allrounder,130,7,7646,129.3,48,8.38,50.22,DC,15.0
Karthik Malik,24,India,Bowler,101,4,3251,129.2,389,4.53,50.38,PBKS,10.0
Amit Khan,30,Sri Lanka,Bowler,76,4,1993,138.1,488,6.22,33.02,KKR,5.0
Ankit Khan,32,Sri Lanka,Wicketkeeper,213,12,9312,100.5,0,0.0,36.03,KKR,2.0
Sameer Kulkarni,19,Australia,Bowler,26,1,217,147.0,438,5.5,28.54,MI,3.0
Rahul Mehta,32,England,Wicketkeeper,210,7,10897,153.0,0,0.0,53.53,SRH,7.0
Sameer Malik,35,India,Batter,330,16,8430,115.9,6,6.87,51.34,LSG,0.2
Amit Patel,27,West Indies,Bowler,204,9,245,121.6,105,7.67,31.23,RCB,2.0
Amit Naidu,34,England,Allrounder,207,7,6521,136.3,275,6.84,29.57,RR,7.0
Rohan Singh,29,West Indies,Allrounder,299,10,2510,98.1,492,7.58,21.73,CSK,1.5
Manoj Shetty,32,India,Wicketkeeper,365,13,11478,118.2,0,0.0,32.37,GT,3.0
Sandeep Khan,41,England,Batter,510,19,14984,124.5,8,7.1,31.23,RR,3.0
Rahul Mehta,22,Australia,Bowler,42,2,902,113.6,122,4.73,54.12,RR,0.5
Sandeep Yadav,19,India,Batter,28,1,5484,121.7,13,7.44,40.18,RR,1.5
Amit Patel,35,India,Bowler,202,9,2978,109.5,574,7.74,43.84,RCB,1.5
Sameer Iyer,20,India,Wicketkeeper,17,1,10030,138.0,0,0.0,41.26,LSG,0.2
Irfan Naidu,28,West Indies,Allrounder,290,10,8784,135.6,456,5.31,22.24,SRH,0.2
